PEK
PKC
PIM
CAMK2
CK2
VRK
AUR
NDR
PDGFR
CDK
FGFR
DYRK
CAMKL
CAMK1
DMPK
CK1
SRC
IKK
TIE
PKD
SYK
STE20
IRAK
CDKL
MAPK
EGFR
RSKB
NKF2
RAF
MLCK
MAPKAPK
PKA
STE7
ALK
RIPK
EPH
CAMKK
NAK
PDHK
PLK
WNK
TRK
MLK
LISK
BCR
WEE
NEK
TEC
STKR
JAKB
FAK
RSK
ULK
G11
DDR
TLK
PKG
STK33
RAD53
GRK
VEGFR
INSR
LRRK
CLK
PIKK
RIO
PKN
STE11
DAPK
SGK
BAZ
TAF1
MAST
ABL
CDC7
GSK
MET
KIS
PDK1
FER
ALPHA
RCK
CASK
STE-UNIQUE
CSK
COL4A3BP
AXL
BUB
BLVRA
IRE
TTK
MOS
SRPK
AKT
TOPK
ACK
RET
TTBK
