ALK
RIPK
PKC
IRE
AKT
GSK
NEK
RSK
TAF1
GRK
WEE
CLK
LISK
PKN
SGK
DYRK
ACK
RSKB
VEGFR
LRRK
TIE
PKD
BAZ
MET
TRK
CAMK2
JAKB
SRPK
INSR
FGFR
MOS
STE20
NKF2
TTK
STE-UNIQUE
TOPK
IKK
PIKK
COL4A3BP
SRC
MAPK
IRAK
PLK
RIO
CDC7
MLCK
CDKL
CDK
ALPHA
STK33
TTBK
VRK
AUR
CAMK1
G11
BLVRA
MAPKAPK
CK1
STE7
PIM
ABL
ULK
EPH
MAST
FAK
DDR
NAK
KIS
RCK
AXL
PKA
PDHK
RAD53
BUB
CSK
WNK
EGFR
MLK
RAF
CAMKL
SYK
FER
CASK
RET
BCR
CK2
TEC
TLK
STE11
NDR
DAPK
PDK1
CAMKK
STKR
PKG
PDGFR
DMPK
PEK
